Reporte de stock
Fecha Generación:;22/04/2024 13:11

Filtros Aplicados
Rubro;0

Producto;Proyectado;Solicitado;No disponible;Pend N/D Prov;Disponible;Comprometido;En armado;En tránsito;Asignado;Reservado para retiro;Faltante;Baja en tránsito;Baja;Total
GRABADORA NVR  marca Dahua DH-NVR7864;0;0;0;0;0;0;0;0;6;0;0;0;0;6
SERVIDOR;0;0;0;0;0;0;0;0;18;0;0;0;0;18
SERVIDOR 170 AS400E;0;0;0;0;0;0;0;0;1;0;0;0;0;1
SERVIDOR DE BASE DE DATOS LENOVO THINKSYSTEM SR635;2;0;0;0;0;0;0;0;0;0;0;0;0;0
SERVIDOR DE CORREO LENOVO THINKSYSTEM SR655;2;0;0;0;0;0;0;0;0;0;0;0;0;0
SERVIDOR DE CORREO Y ARCHIVO;0;0;0;0;0;0;0;0;18;0;0;0;1;18
SERVIDOR DE DOMINIO Y ARCHIVO;0;0;0;0;0;0;0;0;98;0;0;3;2;101
SERVIDOR DE DOMINIO Y ARCHIVO HP PROLINE ML 350;0;0;0;0;0;0;0;0;2;0;0;0;0;2
SERVIDOR DE DOMINIO Y ARCHIVO IBM 3BX;0;0;0;0;0;0;0;0;1;0;0;0;0;1
SERVIDOR DE DOMINIO Y ARCHIVO XSERIES 206;0;0;0;0;0;0;0;0;2;0;0;0;0;2
SERVIDOR DELL;0;0;0;0;0;0;0;0;0;0;0;0;1;0
SERVIDOR DELL PE2950, 4MB/3GHZ 1333 DISCO 6 DE 146GB SAS 3 5IN 15K PE;0;0;0;0;0;0;0;0;1;0;0;0;1;1
SERVIDOR DELL PV124T 2U LTO-2L 200/400GB-R;0;0;0;0;0;0;0;0;1;0;0;0;0;1
SERVIDOR DE RED 256 MB;0;0;0;0;0;0;0;0;3;0;0;0;0;3
SERVIDOR DE RED 512 MB;0;0;0;0;0;0;0;0;1;0;0;0;0;1
SERVIDOR HP ML110 PROLIAN DE DOMINIO Y ARCHIVO;0;0;0;0;0;0;0;0;4;0;0;0;0;4
SERVIDOR HP ML350 INTEL XEON - DOBLE NUCLEO;0;0;0;0;0;0;0;0;3;0;0;0;0;3
SERVIDOR HP WORKSTATION Z400 PIN NZ962LA;0;0;0;0;0;0;0;0;5;0;0;0;0;5
SERVIDOR IBM;0;0;0;0;0;0;0;0;5;0;0;0;4;5
SERVIDOR IBM MODELO X3550 M4 / 1X8GB/ 2.0GHz/1333MHz/15MB;0;0;0;0;0;0;0;0;1;0;0;0;0;1
SERVIDOR IBM x 3650 M4;0;0;0;0;0;0;0;0;1;0;0;0;0;1
SERVIDOR IBM XSERIES 326;0;0;0;0;0;0;0;0;3;0;0;0;0;3
SERVIDOR LENOVO SR630;0;0;0;0;0;0;0;0;3;0;0;0;0;3
SERVIDOR PARA CENTRO DE DATOS LENOVO THINKSYSTEM SR635;4;0;0;0;0;0;0;0;0;0;0;0;0;0
SERVIDOR POTENCIADOPOWER EDGE R720;0;0;0;0;0;0;0;0;5;0;0;0;0;5
SERVIDOR POWER EDGE R720;0;0;0;0;0;0;0;0;9;0;0;0;1;9
SERVIDOR RACKEABLE DELL MOD. POWEREDGE R730;0;0;0;0;0;0;0;0;45;0;0;0;0;45
SERVIDOR RACKEABLE MARCA DELL MOD. POWEREDGE R730;0;0;0;0;0;0;0;0;10;0;0;0;0;10
SERVIDOR RACKEABLE PARA FILE SERVER POWER EDGE R710;0;0;0;0;0;0;0;0;21;0;0;1;1;22
SERVIDOR RACKEABLE  PARA FILE SERVERS;0;0;0;0;0;0;0;0;39;0;0;0;1;39
SERVIDOR RACKEABLE PARA FILE SERVERS - POWER EDGE R710 - Q46002743;0;0;0;0;0;0;0;0;37;0;0;0;3;37
SERVIDOR RACKEABLE PARA FILE SERVERS - POWER EDGE R710 - Q 46002743;0;0;0;0;0;0;0;0;1;0;0;0;0;1
SERVIDOR RACKEABLE POTENCIADO;0;0;0;0;0;0;0;0;6;0;0;0;0;6
SERVIDOR RACKEABLE POTENCIADO PARA BASE DE DATOS;0;0;0;0;0;0;0;0;2;0;0;0;0;2
SERVIDOR RACKEABLE POTENCIADO POWER EDGE R710;0;0;0;0;0;0;0;0;5;0;0;0;0;5
SERVIDOR + SOFTWARE  (SOLUCION DE SEGURIDAD);0;0;0;0;0;0;0;0;2;0;0;0;0;2
SERVIDOR TELEXTORAGE S.A.;0;0;0;0;0;0;0;0;1;0;0;0;0;1
SERVIDOR XEON 1.5GB;0;0;0;0;0;0;0;0;2;0;0;0;0;2
SERVIDOR XEON 1GB;0;0;0;0;0;0;0;0;2;0;0;0;0;2
STORAGE EMC VNX 5300;0;0;0;0;0;0;0;0;2;0;0;0;0;2
SWITCH TIPO 3: OMNISWITCH 6850E P0E BUNDLES OS6850EP24XH;0;0;0;0;0;0;0;4;36;0;0;4;1;44
SWITCH TIPO 4: OMNISWITCH 6850E P0E BUNDLES OS6850EP48XH;0;0;0;0;0;0;1;1;72;0;0;0;3;74
